Baseline characteristics of Crohn's disease patients grouped by CAM use versus no-CAM use

Characteristics of CD patients,CAM (n=37),No-CAM (n=22),p-value
Baseline,,,,
Age at diagnosis,years,median (IQR),11.0 (8.0, 13.0),11.5 (10.0, 14),0.321
Gender: Female,17 (46),13 (59),0.329
Disease location at diagnosis,L1,2 (5.6),1 (5.0),0.873
Disease location at diagnosis,L2,8 (22),3 (15),
Disease location at diagnosis,L3,21 (58),12 (60),
Disease location at diagnosis,L4,5 (14),4 (20),
Disease location at diagnosis,Missing,1 (3),2 (9),
Penetrating disease,8 (22),10 (45),0.3
Stenosing disease,4 (11),2 (9),1.0
IBD related surgery,4 (11),3 (14),1.0
Extraintestinal manifestations,24 (65),11 (50),0.261
Family history of IBD,4 (11),3 (14),>0.999
At CAM-SD questionnaire,,,,
Age,years,mean (IQR),14.0 (13.0, 16.0),14.5 (14.0, 16.0),0.455
Disease duration,years,median (IQR),3.0 (2.0, 4.0),3.0 (2.2, 4.0),0.424
Disease activity (wPCDAI),Remission,21 (75),15 (94),0.586
Disease activity (wPCDAI),Mild disease,5 (18),1 (6.2),
Disease activity (wPCDAI),Moderate disease,1 (3.6),0 (0),
Disease activity (wPCDAI),Severe disease,1 (3.6),0 (0),
Disease activity (wPCDAI),Missing,9 (24),6 (27),
Dietary restrictions,24 (65),5 (23),0.002
HRQOL,,,,
IMPACT III (CH) total score,median (IQR),98 (91, 104),98 (92, 99),0.629
